model,fold,MAE,RMSE,R2,MedAE,fit seconds
Linear regression,1,67.71579210084853,88.95289470877296,0.43467774772067524,55.736236927869356,0.2049903090000953
Linear regression,2,69.48273537424181,89.71849494764031,0.4340417885357507,56.7459605962228,0.1635238940000363
Linear regression,3,73.26511397722123,93.47897455295585,0.42340217498377153,61.9052479724437,0.2157234400001471
Linear regression,4,71.07443708020308,90.28903849334448,0.4379289639783579,59.761611959884675,0.23210303799987742
Decision tree,1,76.00182326001293,98.30003080181795,0.3096279230552117,61.61263982102906,0.04354190499998367
Decision tree,2,75.93192197068825,98.19786226134846,0.3220081502252774,64.28721904761903,0.06657161799989808
Decision tree,3,79.83465456414417,101.54593903821403,0.3195907004604337,66.62485385727595,0.10340381799983334
Decision tree,4,77.22515380319481,98.06672003890638,0.3369222577085015,65.49821325536055,0.119298419000188
Random forest,1,67.95448313631914,88.06057403154567,0.4459627896987265,55.48849000000001,11.211141365999993
Random forest,2,62.92997194950645,84.31815892156719,0.5001235962468185,48.152559999999994,10.33260020900002
Random forest,3,65.7612192006719,86.06558017863537,0.5112304722296375,52.62165999999999,13.334310498999912
Random forest,4,61.765126205743684,81.3129745046846,0.5441301747432182,49.394499999999994,10.90071684999998
Gradient boosting,1,67.34070850820207,87.6253963561609,0.4514251406446975,54.37899357578263,1.2663364360000742
Gradient boosting,2,64.64912741446658,84.67610039732898,0.49587050811021205,53.566747873434224,1.775493817999859
Gradient boosting,3,68.6743756645051,88.44408621802756,0.4838419331463073,56.521988661572635,2.3378641930000867
Gradient boosting,4,65.09464175441192,84.07490167244416,0.5126355061870025,52.03723640706494,3.323104003000026
K-nearest neighbours,1,73.74548839941262,95.41517998643424,0.34955458405670214,58.79080000000005,0.018937543999982154
K-nearest neighbours,2,69.63047589977221,92.45738918068943,0.3989596100459716,52.78739999999999,0.025884041999916008
K-nearest neighbours,3,70.68229990167158,92.80786122755845,0.4316515899201283,55.21249999999995,0.020410741999967286
K-nearest neighbours,4,67.5195666523789,88.1001700193558,0.46485109260222424,53.08819999999997,0.022509420000005775
Support vector regression,1,66.35639568868014,88.21123156756963,0.4440654302121205,51.904245281388114,2.0216340869999385
Support vector regression,2,64.44938059971898,86.57251421932936,0.4730365823275029,49.40992116184191,2.4852336069998273
Support vector regression,3,65.15232764685514,86.67428417228503,0.5042923196561255,49.618970980335945,4.265035674000046
Support vector regression,4,62.092698199953986,82.55057488939184,0.5301477032225723,49.46932137465592,8.365635773999884
Neural network (FNN),1,78.76619310798962,101.94423337401419,0.25749182739270127,62.86015722656248,27.22663311700012
Neural network (FNN),2,75.10401989744703,99.35314419092683,0.3059613800252702,58.08566723632816,35.02224101899992
Neural network (FNN),3,74.92058675573848,100.19348345952764,0.3375942817320635,56.599004028320294,50.806926016000034
Neural network (FNN),4,73.4489090239177,95.37483697119139,0.3728249585120025,57.57042724609374,53.77293243100007
