model,seed,MAE,RMSE,R2,MedAE
Random forest,0,60.76573918050483,78.94867237369422,0.566706404086469,49.368186561561686
Gradient boosting,0,61.24452855112891,78.94712543840394,0.5667233839942407,50.43731519119666
Random forest,1,61.39630397469543,79.45249932190055,0.561158455975779,50.19202027027035
Gradient boosting,1,61.09054098635768,79.06478923929346,0.5654308995741065,49.49334827728882
Random forest,2,61.248271353705604,79.1869756251982,0.564086699270548,50.040363416988384
Gradient boosting,2,61.31863178410208,79.22049341717144,0.5637175995943967,51.37998103539883
Random forest,3,60.93828411207764,79.02009548753311,0.5659220672380182,49.08053094533102
Gradient boosting,3,61.4647881417483,79.52137987344871,0.5603972275529736,50.28965331329414
Random forest,4,61.305828977006065,79.44018529460337,0.5612944740503101,49.79971490951954
Gradient boosting,4,61.354532562917846,79.2200987464705,0.5637219466375527,50.65716508430887
