min_samples_split,min_samples_leaf,max_features,max_depth,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
50,20,0.7,,70.67645987707346,2.458937884492662,74.55070657408703,70.05741760646738,70.3706600977084,67.72705523003101,0.12528246641159058
2,20,1.0,8,71.31591687573585,1.586319709991282,73.67112257376799,69.9784384538056,71.85869815774929,69.75540831762056,0.14686769247055054
10,20,1.0,8,71.31591687573585,1.586319709991282,73.67112257376799,69.9784384538056,71.85869815774929,69.75540831762056,0.1691204309463501
20,50,0.5,10,71.97437078608638,1.904097139042031,73.82659941541858,71.22125884650177,73.64971540785278,69.19990947457241,0.09968245029449463
20,50,0.7,8,72.21852167114946,1.6649089201209535,74.94330016924644,71.35580530622934,72.0573450600573,70.51763614906471,0.06340044736862183
20,10,1.0,6,72.27176601408885,1.0246963555543969,72.9827464405062,70.94935402950945,73.51525031084357,71.63971327549622,0.1546977162361145
10,50,0.5,16,72.34025009149761,2.1206984694844677,73.82659941541858,72.11676445063638,74.44129473737875,68.97634176255674,0.054454505443573
5,50,0.5,,72.34025009149761,2.1206984694844677,73.82659941541858,72.11676445063638,74.44129473737875,68.97634176255674,0.05545628070831299
2,5,0.5,8,72.75459637779922,1.624046702330199,75.1914199329949,71.55904731397358,73.23220386366643,71.03571440056196,0.10317808389663696
50,10,0.5,6,73.35648641534362,2.4568379679956887,72.31216455380329,71.5490398842104,77.58597976844764,71.97876145491318,0.05535072088241577
50,2,0.7,,73.54772123324868,2.3499358695827053,76.99701185755383,72.81438144375859,73.91676736149,70.46272427019231,0.10584276914596558
20,1,0.7,6,73.5898595976512,1.6771455531842616,74.18489604559805,71.80176254762588,76.0556427696863,72.31713702769456,0.04724550247192383
2,5,0.5,10,74.1999928435699,2.9225125270443457,78.40830439581592,73.6189034775476,74.57023116339113,70.20253233752497,0.06848657131195068
5,10,0.5,20,74.37051464138474,1.8066784612836062,75.41361792188127,71.83418603878017,76.6038115467219,73.63044305815565,0.11763447523117065
2,50,0.7,4,77.24652992738216,1.562485066010659,77.25551489685616,75.87795365875458,79.79288823903745,76.05976291488042,0.08841967582702637
5,5,1.0,4,77.26748032054088,1.6428933825121617,75.90139770119421,75.97759933056098,79.96282247035516,77.22810178005318,0.06328356266021729
20,1,0.5,,77.6592025889903,1.62659688590716,78.71708707536298,75.41186356994919,79.61521902763803,76.89264068301097,0.16655921936035156
2,1,0.7,10,78.1306311446871,4.869915268889198,85.28315661683669,79.07942794505364,76.31489188904627,71.84504812781182,0.12452369928359985
20,1,1.0,12,78.85611980607779,5.213944219534921,87.38830273451669,76.64969753196175,78.04555627239225,73.34092268544047,0.22101861238479614
2,2,0.5,,86.08018169307869,2.743984649733427,89.38933981073586,88.04734996203493,82.61204304326449,84.27199395627949,0.16136157512664795
